    title,release_year,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
Into the Wild,2007,140,['drama'],['US'],,tt0758758,8.1,611379.0,15.658,7.8
Blade Runner: The Final Cut,2007,117,"['action', 'thriller', 'scifi']",['US'],,,,,0.055091,9.0
Stardust,2007,122,"['fantasy', 'romance', 'family']","['US', 'IS', 'GB']",,tt0486655,7.6,269043.0,17.538,7.2
Hairspray,2007,117,"['comedy', 'drama', 'romance']","['US', 'GB']",,tt0427327,6.7,128190.0,11.48,6.7
The Girl Next Door,2007,91,"['thriller', 'drama', 'crime', 'horror']",['US'],,tt0830558,6.5,26035.0,13.823,6.6
Jackass 2.5,2007,64,"['documentation', 'comedy']",['US'],,,,,20.424,6.1
Halloween,2007,109,['horror'],['US'],,tt0373883,6.0,118815.0,30.617,6.2
The Bucket List,2007,97,"['drama', 'comedy', 'european']",['US'],,tt0825232,7.4,242733.0,19.365,7.2
TMNT,2007,87,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'action']","['US', 'HK']",,tt0453556,6.2,64062.0,22.181,6.1
I Now Pronounce You Chuck & Larry,2007,115,"['comedy', 'romance']",['US'],,tt0762107,5.9,146625.0,46.06,6.0
Premonition,2007,96,"['thriller', 'drama', 'fantasy']",['US'],,tt0477071,5.9,78119.0,18.308,6.3
The Contractor,2007,105,"['thriller', 'european']","['BG', 'GB', 'US']",,,,,12.99,5.6
Good Luck Chuck,2007,101,"['comedy', 'romance']","['CA', 'US']",,tt0452625,5.6,89755.0,23.64,5.9
Delta Farce,2007,90,"['action', 'comedy']",['US'],,tt0800003,3.6,11138.0,8.685,5.0
Zach Galifianakis: Live at the Purple Onion,2007,61,['comedy'],['US'],,,,,6.223,7.0
My Führer,2007,89,"['drama', 'european', 'comedy', 'war']",['DE'],,tt0780568,5.5,4430.0,7.987,5.7
Can’t Complain,2007,113,"['thriller', 'crime', 'romance', 'comedy', 'drama']",['EG'],,tt2244947,7.5,3922.0,2.624,6.5
Frank & Cindy,2007,73,"['documentation', 'music', 'drama']",['US'],,tt0986354,7.0,344.0,0.86,7.0
Ezra,2007,105,"['drama', 'european']","['NG', 'GB', 'US', 'AT', 'FR', 'DE']",,tt0923688,6.4,274.0,3.384,5.7
Forgetting Sarah Marshall,2008,111,"['comedy', 'drama', 'romance']",['US'],,tt0800039,7.1,280121.0,18.358,6.5
Quantum of Solace,2008,106,"['thriller', 'action']","['GB', 'US']",,tt0830515,6.6,441023.0,30.147,6.3
Rambo,2008,92,"['thriller', 'action', 'war', 'european']","['US', 'DE']",,tt0462499,7.0,228799.0,58.435,6.6
